"id","country","age","gender","ses","fses","religion","married","education","ethnicity","IGF01","IGF02","IGF03","IGI01","IGI02","IGI03","OGF01","OGF02","OGF03","OGI01","OGI02","OGI03","ENDBCL01","ENDBCL02","ENDBCL03","ENDBBL01","ENDBBL02","ENDBBL03","empathic_concern_01","empathic_concern_02","empathic_concern_03","perspective_taking_01","perspective_taking_02","perspective_taking_03","perspective_taking_04","event_positive_affect","event_negative_affect","event_episodic_recall_01","event_episodic_recall_02","event_shared_perception_01","event_shared_perception_02","event_reflection_01","event_reflection_02","event_transformative_indiv_01","event_transformative_indiv_02","event_transformative_group_01","event_transformative_group_02","religious_freedom_per_01","religious_freedom_per_02","religious_freedom_per_03","religious_freedom_per_04","religious_freedom_per_05","religious_freedom_per_06","religious_freedom_per_07","religious_freedom_per_08","religious_freedom_exp_01","religious_freedom_exp_02","religious_freedom_exp_03","religious_freedom_exp_04","religious_freedom_exp_05","religious_freedom_exp_06","sd_score"
"GMB11","Gambia",27,"Female","Upper middle",3,"Muslim: Sunni","Married","WASSCE","Wollof",7,7,6,7,7,7,1,1,1,1,1,1,7,7,7,6,6,6,6,7,5,6,6,6,6,5,5,6,6,6,6,2,2,3,2,6,1,6,2,6,5,5,5,5,5,7,7,7,7,7,7,1.90916933147164
"GMB12","Gambia",18,"Female",NA,NA,"Muslim: Sunni","Other","Senior Secondary","Mandinka",7,7,3,7,6,6,2,1,1,2,1,4,6,6,5,5,2,2,7,7,7,1,6,6,5,1,7,6,6,6,7,1,2,6,1,6,1,7,1,7,6,6,6,7,7,7,7,7,7,7,7,2.29681569109073
"GMB13","Gambia",19,"Female","Middle",2,"Muslim: Sunni","Unmarried","Senior Secondary School","Bambra",2,6,6,6,7,7,2,2,2,6,2,2,6,7,6,NA,7,2,7,7,7,7,7,7,1,7,1,6,7,6,7,6,7,6,7,6,6,7,1,7,7,7,7,7,7,7,7,7,7,7,7,1.72289855959088
"GMB14","Gambia",24,"Male","Upper middle",3,"Muslim: Sunni","Unmarried","Bachelors (ongoing)","Mandinka",7,7,6,7,7,7,4,1,1,1,1,1,7,7,6,2,3,4,7,1,7,7,6,7,7,1,7,7,7,7,4,5,4,6,1,5,1,4,1,7,7,7,7,7,7,7,7,7,7,7,7,2.18650339616687
"GMB15","Gambia",23,"Male","Lower middle",1,"Muslim: Sunni","Unmarried","Certificate in International Relation","Serehula",4,6,6,4,5,6,2,1,1,4,2,2,7,6,7,2,4,2,2,6,7,7,6,6,5,6,2,6,6,2,6,5,6,7,4,7,4,6,4,7,7,6,7,2,6,7,7,7,4,7,7,1.69397910771984
"GMB16","Gambia",26,"Female","Middle",2,"Christian: Other","Unmarried","Certificate on Animal Health Product","Jola",7,6,4,6,6,6,2,2,2,1,1,1,1,2,6,6,6,6,5,6,6,5,5,5,5,2,2,6,2,6,6,6,6,6,6,7,5,7,2,7,5,5,5,6,6,5,7,7,7,5,5,1.8157922373651
"GMB17","Gambia",63,"Male","Middle",2,"Muslim: Sunni","Married","Memorized the Quran (Informal Education)","Fula",7,7,6,7,7,7,1,1,1,1,1,1,5,5,5,4,5,4,5,6,5,6,6,6,6,3,6,6,6,6,6,3,2,4,2,6,1,2,2,6,6,6,6,6,6,7,7,7,7,7,7,1.76930347385877
"GMB18","Gambia",27,"Male","Middle",2,"Muslim: Sunni","Unmarried","Higher Teacher's Certificate (HTC)","Mandinka",7,6,5,6,7,7,4,1,3,1,2,2,7,7,6,4,5,4,7,6,5,5,5,6,5,7,1,7,6,7,7,6,5,7,4,7,4,2,5,6,6,6,7,7,7,7,7,7,6,7,7,1.53167049091951
"GMB19","Gambia",31,"Male","Upper middle",3,"Muslim: Sunni","Married","Higher Teacher's Certificate (HTC)","Mandinka",7,5,4,7,7,7,1,1,2,1,1,1,7,7,6,5,5,5,6,6,5,4,4,5,5,6,2,7,7,7,7,4,3,7,3,7,5,6,2,7,6,6,6,6,6,7,7,7,7,7,7,1.5736738147921
"GMB20","Gambia",59,"Male","Middle",2,"Muslim: Sunni","Married","Form 3 (Old education System)","Jola",7,7,5,6,6,6,2,2,2,3,2,2,5,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,5,5,3,3,4,3,6,3,6,2,7,7,7,7,7,7,7,7,6,5,7,7,1.23285341230492
"GMB21","Gambia",49,"Female","Upper middle",3,"Muslim: Sunni","Married","Form 5 (Old education System)","Mandinka",7,7,7,6,6,6,1,2,2,2,2,2,7,7,7,6,6,6,7,6,6,6,6,6,6,7,7,7,7,7,7,5,4,6,4,7,4,6,2,6,6,6,6,7,7,7,7,7,6,7,7,1.03209369308428
"GMB22","Gambia",26,"Female","Middle",2,"Muslim: Sunni","Unmarried","Advance Diploma in Management","Mandinka",7,7,5,6,6,6,2,2,2,2,2,2,7,7,7,5,6,5,6,6,6,6,6,7,7,7,6,6,6,6,6,5,4,5,3,7,5,5,2,7,7,7,7,7,7,7,7,7,5,7,7,1.0494995356656
"GMB23","Gambia",38,"Female","Upper middle",3,"Muslim: Sunni","Married","Advance Diploma in Management","Fula",7,7,7,7,7,7,3,3,1,1,1,1,7,7,6,5,5,6,7,7,7,7,7,7,7,6,5,6,6,7,6,5,3,7,3,6,3,6,1,7,7,7,7,6,6,7,7,7,6,7,7,1.32902383267799
"GMB24","Gambia",58,"Male","Middle",2,"Muslim: Sunni","Married","Quranic High School Graduate","Mandinka",7,7,7,7,7,7,1,1,1,1,1,1,6,5,5,4,5,4,7,7,6,7,7,7,7,3,5,6,6,6,6,2,3,5,1,6,1,1,2,7,7,7,7,7,7,7,7,7,7,7,7,1.87614699217089
"GMB25","Gambia",36,"Female","Middle",2,"Muslim: Sunni","Married","WASSCE","Mandinka",7,7,6,6,6,6,1,1,1,1,1,1,7,7,6,5,5,5,7,7,7,7,7,6,6,6,5,6,6,6,6,2,2,5,1,6,1,7,1,7,7,7,7,7,7,7,7,6,6,7,7,1.81728815323384
"GMB26","Gambia",NA,"Male","Middle",2,"Muslim: Sunni","Married","Senior Secondary School","Mandinka",3,7,6,4,5,6,3,1,2,4,3,3,2,6,2,1,5,7,2,5,2,3,3,2,1,6,5,5,7,7,2,4,5,6,2,7,4,5,1,6,5,6,3,7,4,4,7,1,3,4,4,1.893926218663
"GMB27","Gambia",26,"Female","Upper",4,"Muslim: Sunni","Married","Senior Secondary School","Mandinka",7,7,7,6,7,7,1,1,6,1,2,2,7,7,7,7,6,2,7,4,6,7,7,7,5,2,7,7,7,7,7,6,4,6,7,6,1,7,2,7,7,7,7,1,7,7,7,7,7,7,7,1.81778651829277
"GMB28","Gambia",21,"Male","Middle",2,"Muslim: Sunni","Other","Senior Secondary School","Mandinka",6,7,3,7,6,7,2,1,1,1,1,4,4,5,7,1,1,1,7,7,7,2,7,6,4,1,7,7,6,6,7,1,2,6,1,6,1,5,2,6,7,7,7,7,6,7,7,7,7,7,7,2.56932856508511
"GMB29","Gambia",50,"Male","Middle",2,"Muslim: Sunni","Married","University","Mandinka",7,7,3,7,7,6,2,1,1,1,1,4,7,7,5,1,1,1,7,7,7,1,6,6,5,1,7,7,6,7,6,2,1,6,1,6,1,4,4,6,7,7,7,6,6,7,7,7,7,7,7,2.65258965617714
"GMB30","Gambia",67,"Male","Middle",2,"Muslim: Sunni","Married","Quranic School","Mandinka",7,7,6,6,7,7,1,1,1,1,1,1,6,6,6,5,6,5,6,5,5,7,7,7,7,3,5,6,6,6,5,5,3,6,3,6,3,2,2,7,7,7,7,7,7,7,7,7,7,7,7,1.28466428254256
"GMB31","Gambia",56,"Male","Middle",2,"Muslim: Sunni","Married","Higher Teacher's Certificate (HTC)","Wollof",6,6,5,6,6,6,2,2,2,2,2,2,7,7,7,5,3,3,5,3,5,6,6,6,6,6,6,6,6,6,5,5,5,6,6,6,5,5,2,6,6,6,6,6,6,7,7,6,6,7,7,1.01349588703826
"GMB36","Gambia",31,"Male","Lower middle",1,"Muslim: Sunni","Married","Primary Teacher's Certificate (PTC)","Jola",7,7,6,7,7,7,1,1,1,2,2,2,7,7,6,6,6,6,7,7,7,5,5,5,5,6,5,6,6,6,6,4,4,5,4,6,4,5,3,6,6,6,6,6,6,7,7,6,5,7,7,1.03472323541759
"GMB37","Gambia",34,"Female","Middle",2,"Muslim: Sunni","Married","Diploma in Management","Mandinka",7,7,6,6,6,6,4,4,4,3,4,3,7,7,5,3,4,3,6,5,5,5,5,5,5,6,2,6,6,6,5,3,3,4,3,6,3,5,3,6,6,6,5,5,5,6,7,6,7,6,6,1.6151457061745
"GMB38","Gambia",28,"Male","Middle",2,"Christian: Catholic","Unmarried","Diploma in ICT","Jola",7,7,6,7,7,7,2,2,2,2,2,2,6,6,6,6,6,6,4,5,5,5,5,5,5,6,3,5,5,5,5,2,2,4,2,5,3,2,5,6,6,5,5,5,6,7,7,7,7,7,7,1.65940446799621
"GMB39","Gambia",28,"Male","Lower middle",1,"Muslim: Sunni","Unmarried","Higher Teacher's Certificate (HTC)","Jola",6,6,4,6,6,6,2,2,2,3,2,2,5,5,5,4,4,4,6,6,5,7,7,7,7,4,5,5,5,5,5,3,3,4,3,5,3,7,1,7,7,7,7,7,7,7,7,7,7,7,7,1.01349588703826
"GMB40","Gambia",24,"Male","Middle",2,"Muslim: Sunni","Unmarried","WASSCE","Mandinka",6,6,5,6,6,6,3,2,2,2,2,2,5,5,5,3,4,3,7,6,6,6,6,7,7,4,5,5,5,5,5,3,3,4,3,5,3,6,2,6,6,6,6,6,6,7,7,6,6,7,7,1.10006587418037
"GMB41","Gambia",26,"Male","Middle",2,"Muslim: Sunni","Unmarried","Advance Diploma in Nursing","Fula",6,5,4,6,6,6,2,2,2,2,2,2,5,5,5,4,4,4,6,6,6,7,7,7,7,3,6,6,6,6,6,2,2,4,2,6,4,6,2,7,7,7,7,7,7,7,7,5,6,7,7,1.39810948960642
"GMB43","Gambia",44,"Female","Middle",2,"Christian: Catholic","Married","WASSCE","Manjago",7,7,5,6,6,6,1,1,1,1,1,1,6,6,6,3,5,3,6,5,6,6,6,6,6,6,2,7,7,7,7,5,5,5,3,7,3,7,1,7,7,7,7,7,7,7,7,7,6,7,7,1.55805527240983
"GMB44","Gambia",47,"Male","Upper middle",3,"Muslim: Sunni","Married","Higher Teacher's Certificate (HTC)","Mandinka",7,7,6,6,6,6,3,2,2,3,3,3,5,5,5,3,5,3,5,3,5,5,5,5,5,7,6,6,6,6,5,2,2,5,2,6,3,7,1,7,7,7,7,7,7,7,7,7,7,7,7,1.6151457061745
"GMB45","Gambia",20,"Female","Upper middle",3,"Muslim: Sunni","Unmarried","Senior Secondary School","Wollof",7,7,7,7,6,6,2,1,1,1,3,2,7,7,6,1,1,1,7,3,7,7,6,7,7,1,7,7,7,6,6,7,7,7,1,7,1,7,1,7,7,7,7,5,1,7,7,7,7,7,7,2.56191447888126
"GMB46","Gambia",25,"Male","Middle",2,"Muslim: Sunni","Unmarried","College","Jola",7,7,1,7,6,7,1,1,1,1,1,1,7,1,1,7,7,7,7,7,7,6,6,6,5,7,1,7,7,4,7,2,1,5,3,4,1,2,7,6,7,7,7,5,3,7,7,6,7,7,7,2.6251293963967
"GMB47","Gambia",23,"Male","Middle",2,"Muslim: Sunni","Unmarried","","Jola",7,7,4,6,6,6,1,1,1,2,3,1,7,6,1,7,7,1,7,5,6,7,7,6,7,1,7,7,6,4,4,2,1,1,1,1,1,7,2,7,6,7,6,4,4,7,7,6,7,7,7,2.62063992627534
"GMB48","Gambia",28,"Female","Upper middle",3,"Muslim: Sunni","Married","Secondary School","Wollof",7,7,7,7,7,7,1,1,1,1,1,1,7,7,4,1,7,4,7,2,7,6,7,7,6,5,3,4,6,4,4,1,1,6,1,6,1,7,2,7,7,7,7,7,7,7,7,4,5,7,7,2.34520787991171
"GMB49","Gambia",32,"Male","Upper middle",3,"Muslim: Sunni","Unmarried","BSc in Economica","Mandinka",6,5,3,6,6,6,2,2,2,2,2,2,7,7,7,3,4,3,7,7,7,7,7,6,6,5,3,5,5,5,5,3,2,4,2,5,2,7,1,7,7,7,7,7,7,7,7,7,7,7,7,1.61458479429574
"GMB50","Gambia",33,"Male","Middle",2,"Muslim: Sunni","Married","B.S.C","Fula",6,6,6,6,7,7,3,2,2,2,5,2,6,7,6,5,5,5,6,7,6,6,5,6,5,2,6,5,6,6,6,3,3,6,2,6,1,6,1,6,6,6,7,6,7,7,7,6,5,7,7,1.68540194320077
"GMB51","Gambia",32,"Male","Middle",2,"Muslim: Sunni","Married","Masters Degree","Mandinka",7,5,6,6,6,6,2,2,2,2,2,2,7,6,6,7,2,6,6,6,6,6,6,6,6,2,6,6,6,6,6,2,2,6,4,6,4,6,2,6,6,6,6,6,6,7,7,7,7,7,7,1.64845118348947
"GMB53","Gambia",NA,"Male","Lower middle",1,"Muslim: Sunni","Married","Diploma","Mandinka",5,2,5,7,6,6,4,1,1,2,2,2,5,4,4,2,2,2,7,7,7,5,6,5,5,3,2,NA,2,6,5,2,1,7,1,7,1,5,3,7,4,4,7,5,5,7,7,7,7,7,7,2.10964283360371
"GMB54","Gambia",28,"Male","Lower middle",1,"Muslim: Sunni","Married","Primary School","Jola",7,6,5,6,6,7,6,2,2,2,4,5,6,6,6,6,7,7,6,7,5,6,5,6,4,2,6,6,6,6,6,5,2,NA,2,6,2,6,1,6,6,6,6,7,7,7,7,7,4,7,7,1.67166575701067
"GMB55","Gambia",28,"Male","Lower middle",1,"Muslim: Sunni","Married","Primary School","Jola",7,6,5,6,6,7,6,2,2,2,5,6,6,6,6,6,7,7,6,7,5,6,5,6,4,2,6,6,6,6,6,5,2,6,2,6,2,6,1,6,6,6,6,7,7,7,7,7,4,7,7,1.6396358733272
"GMB56","Gambia",34,"Male","Lower middle",1,NA,"Unmarried","Senior Secondary School","Mandinka",2,6,5,6,6,6,2,6,3,3,6,5,5,5,5,6,2,2,7,7,7,7,7,5,1,5,1,4,2,2,6,4,4,4,4,7,1,6,6,6,6,6,6,7,2,7,7,7,7,7,7,1.80979620920163
"GMB57","Gambia",22,"Male","Middle",2,"Muslim: Sunni","Unmarried","Senior Secondary School","Fula",7,5,2,6,5,6,6,1,1,1,2,1,7,7,6,6,2,4,7,4,5,6,7,7,7,7,1,6,5,4,4,4,2,6,1,7,1,7,4,6,3,6,7,7,1,7,7,2,1,7,7,2.10201766426202
"GMB58","Gambia",40,"Male","Upper",4,"Muslim: Sunni","Married","BSc in Education","Mandinka",7,6,6,7,7,6,2,1,1,2,1,1,7,6,7,3,7,2,7,6,4,1,6,2,6,1,7,5,6,4,4,4,6,7,5,7,1,1,3,7,6,7,4,5,6,7,6,5,7,7,7,1.94861526455977
"GMB59","Gambia",54,"Male","Upper middle",3,"Muslim: Sunni","Married","University","Mandinka",7,7,7,7,7,7,1,1,1,1,1,1,7,3,5,6,6,4,7,7,7,7,7,7,4,1,7,7,6,7,4,3,2,7,1,6,1,5,3,7,7,7,7,7,1,7,7,7,7,7,7,2.22591782079383
"GMB60","Gambia",53,"Female","Upper middle",3,"Muslim: Sunni","Married","Form 4","Wollof",7,7,5,7,7,7,1,1,1,1,1,2,7,6,6,7,6,6,7,5,7,5,5,3,6,1,7,6,7,6,7,2,1,1,1,6,1,7,2,7,5,6,7,2,4,7,6,5,5,7,7,2.42570772580179
"GMB61","Gambia",19,"Male","Middle",2,"Christian: Protestant","Unmarried","Secondary School","Jola",7,6,7,6,7,7,1,2,1,1,2,3,7,6,7,5,5,4,7,2,4,6,4,5,6,6,2,6,5,7,6,5,3,7,2,6,1,7,2,7,7,6,7,4,3,7,6,5,7,7,7,1.79168773159171
"GMB62","Gambia",33,"Female","Upper middle",3,"Muslim: Sunni","Married","Senior Secondary School","Wollof",7,7,7,6,5,6,1,1,1,1,1,1,7,6,4,6,6,7,7,2,7,5,6,6,5,1,7,6,7,7,7,7,6,7,1,7,1,4,6,7,7,7,6,2,1,7,7,7,5,7,7,1.98362864687311
"GMB63","Gambia",60,"Male","Upper",4,"Muslim: Sunni","Married","Form 6","Mandinka",7,7,7,7,7,6,1,1,1,1,1,1,7,6,1,1,5,1,7,6,7,3,5,7,7,1,7,6,7,7,7,7,4,7,6,7,7,7,2,1,7,7,6,4,4,7,7,6,6,7,7,2.2421360157322
"GMB64","Gambia",38,"Female","Upper middle",3,"Muslim: Sunni","Married","University","Mandinka",5,4,2,5,5,5,2,1,1,2,2,1,7,4,5,7,7,6,7,6,6,4,6,5,3,5,1,7,7,4,4,1,1,2,1,4,1,4,5,7,7,6,7,1,1,7,6,3,3,7,7,2.16024689946929
"GMB65","Gambia",57,"Male","Upper",4,"Muslim: Sunni","Married","Traditional Quranic Schools","Fula",7,7,7,7,7,7,1,1,1,1,1,1,7,6,7,5,5,5,6,2,5,4,2,6,4,2,6,7,7,6,6,3,2,1,1,3,2,3,7,6,7,7,7,4,4,7,7,7,3,7,7,2.19312165843476
"GMB66","Gambia",47,"Male","Middle",2,"Muslim: Sunni","Unmarried","Grade 8 ( Upper Basic)","Mandinka",7,7,7,6,7,7,1,1,1,2,1,1,6,6,7,2,7,2,7,7,6,7,6,7,7,1,6,7,6,7,7,2,1,7,1,7,5,1,1,6,6,7,6,7,1,7,7,7,7,7,7,2.33436830048706
"GMB67","Gambia",24,"Male","Lower middle",1,"Muslim: Sunni","Unmarried","Certificate in Management Studies","Mandinka",7,7,6,4,7,6,4,1,1,4,2,2,7,6,4,7,6,4,2,6,7,6,6,6,6,2,6,6,7,7,6,6,6,6,6,7,4,6,6,6,4,6,7,7,6,7,7,7,7,7,7,1.30772509631659
"GMB68","Gambia",20,"Female","Upper middle",3,"Christian: Catholic","Unmarried","High School","Balanta",7,7,1,7,7,6,2,1,1,3,4,4,7,2,1,1,6,1,7,7,6,3,4,5,2,1,7,7,7,7,6,7,7,7,4,7,1,1,7,7,7,7,7,1,1,7,7,5,5,7,7,2.64540892978706
"GMB69","Gambia",47,"Male","Middle",2,"Muslim: Sunni","Married","Tertiary Education","Mandinka",7,7,7,6,6,6,6,6,6,5,5,5,7,7,7,7,5,5,7,1,7,7,7,7,7,2,7,5,6,7,7,4,4,1,1,5,1,7,1,7,7,7,7,7,7,2,7,7,7,2,2,2.0951116327354
"GMB71","Gambia",74,"Male","Lower middle",1,"Muslim: Sunni","Married","Junior Sec School","Mandinka",6,6,5,6,6,6,6,4,4,6,6,6,7,7,7,7,5,5,7,1,7,7,7,7,7,1,7,6,6,6,6,6,6,1,2,7,2,6,1,7,7,7,7,7,7,7,7,7,7,7,7,1.88385589774756
"GMB72","Gambia",29,"Male","Middle",2,"Christian: Catholic","Unmarried","Bachelor in Business Administration","Aku",7,6,4,7,7,7,7,6,6,6,6,6,7,6,5,7,7,7,7,7,7,6,7,7,6,1,6,6,7,7,7,6,4,7,1,6,4,6,1,7,7,7,7,7,7,3,7,2,2,3,3,1.79320375589193
"GMB73","Gambia",30,"Male","Upper middle",3,"Muslim: Sunni","Married","BSc in Human Resource","Jola",7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,NA,6,6,2,6,7,7,7,7,7,1,7,6,6,7,7,7,7,7,3,7,4,6,2,7,6,7,7,7,7,1,7,5,5,1,1,1.53612622999101
"GMB74","Gambia",31,"Male","Upper middle",3,"Christian: Catholic","Married","BSc in Economic","Mandinka",7,7,7,7,7,7,7,7,7,7,7,7,6,6,5,5,6,5,NA,NA,NA,6,6,NA,6,1,7,6,6,7,7,2,5,7,NA,7,NA,7,1,7,7,7,7,7,7,2,7,7,3,2,2,1.63034004367453
"GMB75","Gambia",40,"Male","Middle",2,"Muslim: Sunni","Married","Bsc","Mandinka",6,4,4,7,6,6,2,1,1,2,5,2,7,7,7,6,5,3,6,7,5,4,6,4,2,2,2,7,1,7,7,NA,4,1,1,6,1,5,3,7,6,5,6,5,5,7,7,7,4,7,7,2.32786862430332
"GMB76","Gambia",52,"Male","Middle",2,"Muslim: Sunni","Married","BSc in Accounting","Mandinka",6,6,6,6,6,6,5,5,5,5,5,5,7,7,7,7,5,5,7,1,7,7,7,7,7,2,7,4,4,7,6,4,5,1,1,6,1,7,1,7,7,7,7,6,6,7,7,7,7,7,7,1.99818758458469
"GMB77","Gambia",30,"Male","Middle",2,"Muslim: Sunni","Married","Diploma in Management","Wollof",6,6,5,6,6,6,1,1,1,2,1,1,6,6,6,2,3,2,6,6,6,6,6,6,7,6,5,6,5,6,6,4,4,6,4,7,4,6,2,6,6,6,6,7,7,7,7,7,7,7,7,1.36134524260572
"GMB79","Gambia",32,"Male","Middle",2,"Muslim: Sunni","Married","","Jola",6,5,5,6,6,6,2,2,2,NA,3,2,5,5,5,4,4,4,6,5,6,6,6,6,6,4,5,6,6,5,5,5,3,4,2,5,2,5,2,6,6,6,6,6,6,7,7,7,7,7,7,1.16017864691332
"GMB80","Gambia",27,"Male","Middle",2,"Muslim: Sunni","Married","WASSCE","Mandinka",6,6,5,6,6,6,2,2,2,3,3,3,6,6,6,5,5,5,6,6,5,5,5,6,6,6,3,6,6,5,5,3,3,5,3,5,3,5,2,6,6,6,6,7,7,6,7,7,7,6,6,1.16017864691332
"GMB81","Gambia",26,"Female","Middle",2,"Christian: Catholic","Unmarried","WASSCE","Jola",6,6,5,7,7,7,1,1,1,1,1,1,7,7,7,5,5,5,7,7,7,6,6,6,6,5,4,5,5,5,5,2,2,4,1,5,1,6,2,6,6,6,6,6,6,7,7,6,6,7,7,1.83958092265997
"GMB82","Gambia",39,"Male","Upper middle",3,"Muslim: Sunni","Married","Undergraduate Degree in Communications","Fula",7,5,4,6,6,6,2,2,2,2,2,2,6,6,6,5,5,5,6,6,6,6,6,6,6,6,5,6,6,5,5,2,2,4,2,5,2,6,2,7,7,6,7,6,6,7,7,7,7,7,7,1.48360606514052
"GMB83","Gambia",28,"Female","Middle",2,"Muslim: Sunni","Married","WASSCE","Jola",6,5,4,6,6,6,1,1,1,2,2,2,5,5,5,5,6,5,6,6,6,5,5,5,5,5,6,6,6,5,5,2,1,4,2,5,1,6,2,6,6,6,6,6,6,7,7,7,6,7,7,1.57884566161117
"GMB84","Gambia",47,"Male","Middle",2,"Muslim: Sunni","Married","Higher Teacher Certificate (HTC)","Fula",6,5,4,6,6,6,2,2,2,2,2,2,6,6,6,4,5,4,7,7,5,5,5,5,5,5,5,6,6,6,5,3,2,3,2,5,3,5,3,6,6,6,6,6,6,6,6,6,6,6,6,1.35065738154383
"GMB85","Gambia",34,"Male","Upper middle",3,"Christian: Other","Unmarried","LLB","Manjago",7,7,6,6,6,6,3,2,2,2,2,2,7,7,7,6,7,6,7,6,6,5,5,6,6,6,2,6,6,6,6,5,4,6,4,6,4,6,2,6,6,6,6,7,7,7,7,7,7,7,7,1.2150922908826
"GMB86","Gambia",21,"Male","Middle",2,"Muslim: Sunni","Unmarried","High School (WASSCE)","Jola",7,6,6,5,5,7,6,6,5,6,5,5,7,7,6,4,4,4,6,6,4,7,7,6,4,2,5,5,6,5,6,5,3,6,4,5,4,6,4,7,6,6,6,6,4,7,7,7,7,7,7,1.30772509631659
"GMB87","Gambia",26,"Male","Middle",2,"Muslim: Sunni","Unmarried","Higher Teacher Certificate (HTC)","Fula",7,5,5,6,6,6,1,1,1,2,2,1,6,6,6,3,3,3,6,7,6,6,7,7,7,7,6,7,7,7,7,3,3,5,3,7,4,7,1,7,7,7,7,7,7,7,7,6,7,7,7,1.57884566161117
"GMB88","Gambia",36,"Male","Middle",2,"Muslim: Sunni","Married","GCE Level(WASSCE)","Jola",6,5,4,6,6,5,4,6,3,5,4,5,6,5,7,5,2,3,7,7,6,7,6,7,4,2,6,5,6,5,6,5,3,6,4,5,3,7,2,6,6,6,5,7,7,5,7,6,5,5,5,1.37260991217989
