id,country,age,gender,ses,fses,religion,married,education,ethnicity,IGF01,IGF02,IGF03,IGI01,IGI02,IGI03,OGF01,OGF02,OGF03,OGI01,OGI02,OGI03,ENDBCL01,ENDBCL02,ENDBCL03,ENDBBL01,ENDBBL02,ENDBBL03,empathic_concern_01,empathic_concern_02,empathic_concern_03,perspective_taking_01,perspective_taking_02,perspective_taking_03,perspective_taking_04,event_positive_affect,event_negative_affect,event_episodic_recall_01,event_episodic_recall_02,event_shared_perception_01,event_shared_perception_02,event_reflection_01,event_reflection_02,event_transformative_indiv_01,event_transformative_indiv_02,event_transformative_group_01,event_transformative_group_02,religious_freedom_per_01,religious_freedom_per_02,religious_freedom_per_03,religious_freedom_per_04,religious_freedom_per_05,religious_freedom_per_06,religious_freedom_per_07,religious_freedom_per_08,religious_freedom_exp_01,religious_freedom_exp_02,religious_freedom_exp_03,religious_freedom_exp_04,religious_freedom_exp_05,religious_freedom_exp_06,history_discrimination,freq_positive_contact,freq_negative_contact,fight_outgroup,og_host_01,og_host_02,og_hostility,og_coop_01,og_coop_02,og_cooperation,NegativeToPositive,HostileToFriendly,SuspiciousToTrusting,ContemptToRespect,ThreatenedToRelaxed,og_affect
UGA21,Uganda,27,Male,Lower middle,1,Christian: Protestant,Married,Vocational,Itesot,7,7,6,7,7,7,4,4,4,4,4,4,7,6,7,4,5,4,7,6,6,6,6,6,6,2,6,7,7,7,6,7,6,7,7,6,6,7,1,7,7,7,7,7,2,7,7,7,7,7,5,4,5,3,1,2,2,2,6,6,6,4,4,4,5,6,4.6
UGA22,Uganda,28,Male,Lower middle,1,Christian: Protestant,Married,Vocational,Japadhola,7,7,6,7,7,7,4,4,4,4,4,4,6,6,7,4,4,4,7,6,6,6,6,6,5,2,6,7,7,7,6,7,6,7,7,6,5,7,2,7,7,7,7,7,1,7,7,7,7,5,5,4,5,3,1,2,2,2,6,6,6,5,4,4,5,5,4.6
UGA23,Uganda,32,Female,Middle,2,Christian: Protestant,Married,Primary,Japadhola,7,7,6,7,7,7,4,4,4,4,4,4,7,7,6,4,6,3,,,,,,,,2,6,7,7,7,7,6,6,7,7,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGA24,Uganda,65,Male,Lower middle,1,Christian: Protestant,Not married,Secondary,Musamia,6,,7,5,6,,5,,,3,2,1,6,7,2,2,7,6,2,7,6,6,7,6,7,7,6,6,,2,2,6,6,6,,4,2,6,6,6,6,6,6,7,7,7,6,7,6,7,7,1,4,4,1,2,2,2,2,1,1.5,1,3,2,5,3,2.8
UGA25,Uganda,32,Female,Middle,2,Christian: Catholic,Married,Secondary,musoga,6,,5,6,,5,5,3,2,4,3,3,6,6,7,6,6,7,6,1,6,7,6,7,6,7,2,6,7,2,5,7,7,7,6,6,7,2,2,7,7,7,7,7,7,7,7,2,7,5,3,5,6,1,2,6,5,5.5,5,6,5.5,1,4,7,5,6,4.6
UGA26,Uganda,19,Female,Lower middle,1,Other,Married,Primary,Itesot,6,7,,3,5,6,6,,4,6,7,6,6,6,5,4,6,7,1,6,6,7,6,7,6,6,2,7,7,2,7,2,6,6,,7,2,6,2,7,7,7,7,7,7,7,5,7,7,7,7,2,4,1,2,2,2,2,6,6,6,1,2,5,5,5,3.6
UGA27,Uganda,24,Female,Lower middle,1,Christian: Protestant,Married,Primary,Samia,6,5,6,5,6,7,2,3,4,7,2,6,2,1,2,1,2,1,6,1,6,7,6,7,6,7,6,6,7,6,5,7,6,7,6,7,6,6,2,7,6,6,7,7,7,7,7,6,7,6,7,6,3,4,7,7,6,6.5,6,7,6.5,1,5,2,4,5,3.4
UGA28,Uganda,19,Female,Lower middle,1,Christian: Protestant,Not married,Tertiary,Munyole,6,6,6,6,7,6,2,2,2,2,1,2,6,6,6,2,2,2,6,6,2,6,6,6,6,5,5,3,6,6,6,6,2,5,6,6,6,6,2,6,6,6,6,6,6,7,7,7,7,7,7,6,4,4,2,2,2,2,2,2,2,5,5,4,5,4,4.6
UGA29,Uganda,44,Female,Lower middle,1,Christian: Protestant,Married,Primary,Amuganda,7,7,7,6,6,6,6,2,6,6,2,2,6,2,6,2,6,6,7,6,6,6,6,6,6,7,2,6,6,6,6,6,6,6,7,6,6,6,2,6,6,6,6,6,6,7,7,7,7,7,4,2,4,1,1,1,2,1.5,2,6,4,3,5,5,5,5,4.6
UGA30,Uganda,46,Male,Lower middle,1,Muslim: Sunni,Married,Primary,Nilotic,7,7,7,6,6,6,2,2,2,2,2,2,7,7,7,7,7,5,6,6,6,6,6,7,7,6,6,6,7,7,7,6,7,7,6,7,6,7,1,7,6,7,7,6,6,7,7,7,4,4,4,4,7,1,6,4,4,4,6,6,6,5,5,5,7,4,5.2
UGA31,Uganda,28,Female,Lower middle,1,Christian: Catholic,Married,Primary,Nilotic,6,6,4,7,7,6,4,4,4,2,2,2,6,6,6,6,6,5,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,6,2,6,5,5,6,6,6,7,7,7,7,7,7,2,5,1,,2,2,2,6,6,6,5,5,5,5,4,4.8
UGA32,Uganda,58,Male,Middle,2,Christian: Protestant,Married,Primary,Nilotic,6,6,6,6,6,6,2,2,2,2,2,2,7,7,7,7,7,6,6,6,6,6,6,6,6,2,7,7,7,7,7,7,7,7,7,7,7,6,2,7,7,7,7,6,5,7,7,7,7,4,4,4,5,1,4,4,4,4,6,6,6,5,5,5,5,4,4.8
UGA33,Uganda,28,Male,"",,Christian: Catholic,Not married,Secondary,japhadollah,2,2,1,2,3,4,2,7,7,7,7,7,2,6,6,6,6,6,7,2,6,6,7,7,6,5,6,7,6,6,6,6,7,2,1,2,1,7,1,7,7,7,7,7,7,7,6,7,7,7,7,2,5,4,2,2,2,2,7,6,6.5,5,6,5,6,6,5.6
UGA34,Uganda,40,Female,Lower middle,1,Christian: Catholic,Not married,Primary,Nilotic,6,6,6,,6,6,2,2,2,5,2,2,6,6,6,6,5,5,6,6,6,6,5,5,6,6,6,6,6,6,6,6,6,6,5,6,6,7,1,7,6,6,7,6,5,7,7,7,7,7,7,4,6,1,3,4,3,3.5,6,,,5,5,5,5,4,4.8
UGA35,Uganda,28,"",Lower middle,1,Christian: Protestant,Married,Primary,Japadhola,2,6,7,6,6,6,6,7,2,6,6,5,2,2,,3,6,6,1,7,6,6,6,6,6,7,6,7,6,6,7,7,7,5,2,2,2,2,2,2,6,6,6,7,7,7,7,6,7,6,7,2,4,4,2,6,3,4.5,6,7,6.5,1,4,5,5,5,4
UGA36,Uganda,67,Male,Middle,2,Christian: Protestant,Married,Tertiary,Etesot,3,3,2,6,5,6,3,3,2,4,4,5,7,7,7,1,2,2,7,6,6,6,6,7,2,2,7,7,4,5,5,7,6,7,6,5,3,6,5,5,4,5,3,6,4,7,7,4,6,4,4,3,4,3,1,3,2,2.5,6,4,5,5,7,4,4,4,4.8
UGA37,Uganda,54,Male,Lower middle,1,Christian: Protestant,Not married,Primary,Samia,6,4,3,6,5,6,5,4,3,4,4,4,6,5,6,6,5,6,6,5,6,6,5,6,5,1,7,7,6,4,3,6,6,6,5,3,2,6,1,5,5,6,3,6,4,4,7,5,6,4,5,3,4,2,2,3,1,2,6,6,6,5,5,4,7,4,5
UGA38,Uganda,59,Male,Lower middle,1,Other,Married,Primary,Mugisu,4,3,3,4,5,4,3,3,3,3,4,4,7,5,6,6,6,5,7,7,6,6,5,7,6,1,7,7,7,5,5,6,7,6,4,3,5,7,4,6,5,7,4,4,3,4,5,4,6,2,2,3,5,2,1,2,2,2,6,7,6.5,5,6,5,5,5,5.2
UGA39,Uganda,27,Female,Middle,2,Other,Not married,Secondary,Japadhola,6,6,3,6,6,6,4,3,2,4,3,3,6,4,6,6,7,6,7,6,5,6,5,6,5,7,1,7,2,2,2,7,7,7,7,3,2,7,7,6,5,6,3,7,3,3,7,5,6,3,4,4,4,1,1,2,2,2,6,6,6,5,6,4,5,5,5
UGA40,Uganda,44,Female,Lower middle,1,Other,Not married,Primary,Mugisu,7,7,4,6,6,6,4,4,2,3,3,3,6,3,5,4,6,5,6,7,7,5,6,7,5,1,7,7,3,3,3,7,6,7,6,4,3,7,5,6,6,6,4,6,4,3,7,4,4,3,2,2,4,4,2,2,2,2,4,5,4.5,5,5,5,3,4,4.4
UGA41,Uganda,32,Female,Lower middle,1,Other,Married,Primary,Gishu,4,3,3,4,4,5,5,4,2,4,4,3,7,6,6,6,6,4,6,4,5,6,5,5,7,1,7,7,1,1,1,7,6,7,5,1,2,6,2,6,7,7,4,7,6,3,6,5,7,4,4,2,5,3,2,2,2,2,5,6,5.5,4,5,4,4,4,4.2
UGA42,Uganda,42,Male,Lower middle,1,Christian: Protestant,Married,Primary,Munyole,6,6,7,7,6,7,1,1,2,1,2,1,5,6,6,6,4,5,7,6,3,4,4,6,5,1,7,6,6,7,7,7,7,1,4,3,6,5,3,5,5,5,5,5,5,6,4,5,5,4,4,1,1,,5,1,1,1,1,1,1,1,1,1,1,1,1
UGA43,Uganda,23,Male,Lower middle,1,Other,Married,Primary,Itesot,6,6,6,7,7,7,2,2,2,1,1,1,7,7,6,6,7,6,2,7,6,6,5,4,4,6,1,7,7,7,7,7,6,6,4,7,4,2,2,6,6,6,6,6,6,4,5,7,4,4,4,5,2,2,2,4,5,4.5,2,5,3.5,1,2,2,2,2,1.8
UGA44,Uganda,27,Male,Upper middle,3,Other,Married,Primary,Itesot,6,7,7,6,6,6,1,1,1,1,1,1,7,2,6,5,6,6,6,7,5,4,6,4,4,2,6,6,6,5,4,7,7,7,6,6,6,6,2,6,6,6,6,6,4,7,7,7,7,7,7,7,1,7,6,6,,,1,2,1.5,1,5,1,5,1,2.6
UGA45,Uganda,44,Male,Middle,2,Other,Married,Primary,Japadhola,6,6,6,2,6,5,1,2,2,6,1,3,7,6,6,5,4,5,6,7,7,6,5,6,6,7,2,6,6,6,6,6,6,6,6,5,6,6,2,5,5,7,5,6,6,5,7,5,7,5,4,7,2,4,2,4,6,5,2,4,3,2,3,4,1,2,2.4
UGA46,Uganda,65,Male,Middle,2,Christian: Protestant,Married,Primary,Bantu,7,7,6,7,6,6,2,2,2,2,2,2,7,6,6,6,7,4,7,7,6,6,6,6,5,7,6,7,7,6,6,6,7,7,7,7,7,7,2,6,7,7,2,6,6,7,5,7,7,7,7,4,5,1,1,3,3,3,6,6,6,5,5,4,5,5,4.8
UGA47,Uganda,23,Female,Lower middle,1,Christian: Catholic,Married,Secondary,Bantu,7,7,6,6,6,6,3,2,2,2,2,3,6,6,6,7,5,3,6,6,6,6,6,5,6,7,7,7,7,6,6,6,6,6,6,7,7,5,3,6,6,6,6,5,5,7,7,7,7,7,7,4,5,1,2,2,2,2,6,6,6,5,5,6,6,5,5.4
UGA48,Uganda,47,Male,Lower middle,1,Christian: Protestant,Married,Primary,Nilotic,6,6,6,6,6,6,2,2,2,2,2,2,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,5,6,5,5,6,6,4,6,2,6,6,6,6,6,5,7,7,7,7,7,7,4,5,1,4,4,4,4,7,7,7,5,5,5,5,4,4.8
UGA49,Uganda,60,Female,Middle,2,Christian: Catholic,Married,Primary,japhadollah,6,6,6,6,6,,5,2,2,4,5,5,2,6,6,6,6,6,7,2,6,7,6,6,7,6,2,7,7,2,2,6,6,6,6,6,6,6,2,6,7,6,7,6,7,7,6,7,7,7,7,2,5,4,2,2,2,2,5,5,5,5,6,6,5,4,5.2
UGA50,Uganda,48,Female,Lower middle,1,Christian: Protestant,Married,None,Nilotic,6,6,6,7,7,6,2,2,2,2,2,2,6,6,6,6,5,5,6,6,6,6,5,5,6,6,6,6,6,5,5,7,7,5,6,4,5,7,1,7,6,7,7,6,4,7,7,7,7,7,7,1,5,1,1,1,1,1,6,6,6,4,4,4,4,4,4
UGA51,Uganda,23,Female,Lower middle,1,Christian: Catholic,Married,None,Adhola,6,6,3,6,6,6,5,4,2,4,4,5,6,5,5,5,5,5,6,5,5,5,4,6,4,6,2,2,2,5,6,5,7,5,7,5,4,5,2,4,6,7,5,6,4,7,7,7,5,2,3,2,7,2,1,2,1,1.5,6,5,5.5,5,5,5,4,5,4.8
UGA52,Uganda,24,Female,Middle,2,Other,Not married,Secondary,Samia,6,6,5,6,3,6,5,4,3,4,4,3,5,6,6,5,6,2,6,4,5,4,4,6,3,7,2,6,6,6,6,6,5,6,4,6,5,5,7,6,5,7,2,5,2,7,6,6,6,2,6,3,4,5,1,1,2,1.5,6,5,5.5,1,2,1,2,4,2
UGA53,Uganda,52,Male,Middle,2,Christian: Catholic,Married,Primary,japhadollah,6,6,6,5,5,5,4,5,5,6,6,6,2,6,6,6,6,6,6,1,6,7,6,6,6,7,2,7,7,5,6,6,7,6,7,6,6,7,1,2,6,7,7,7,6,7,7,7,6,7,7,4,4,4,5,5,5,5,6,5,5.5,5,5,5,4,4,4.6
UGA54,Uganda,29,Female,Middle,2,Christian: Protestant,Married,None,japhadollah,6,6,7,6,6,6,7,6,7,6,5,6,2,6,6,6,6,6,6,2,6,6,7,6,7,7,6,6,6,6,6,6,7,6,7,6,7,6,2,2,6,6,6,7,7,7,6,7,7,6,7,6,5,4,2,2,2,2,6,6,6,5,5,6,6,4,5.2
UGA55,Uganda,36,Female,Middle,2,Other,Married,None,japhadollah,6,7,6,6,6,6,6,5,6,4,4,4,2,6,6,6,6,6,6,2,6,6,6,6,6,6,2,7,7,2,2,6,6,6,6,6,6,6,2,6,6,7,2,6,7,7,6,7,7,7,7,6,4,4,2,4,2,3,6,5,5.5,5,6,4,5,5,5
UGA56,Uganda,56,Female,Lower middle,1,Christian: Protestant,Married,None,Nilohamites,6,6,6,7,7,7,2,2,2,2,2,2,6,7,6,6,5,3,7,6,6,6,5,5,6,2,6,7,7,6,6,6,5,5,4,4,4,6,2,6,6,6,6,6,7,7,7,7,7,7,7,,5,,1,1,1,1,6,5,5.5,5,5,5,5,5,5
UGA57,Uganda,80,Female,Lower middle,1,Christian: Catholic,Not married,Primary,Nilohamites,6,6,6,6,6,6,2,2,2,2,2,2,6,6,6,6,6,5,7,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,5,5,5,3,6,6,6,6,7,7,7,7,7,7,7,7,1,4,4,1,1,1,1,6,6,6,5,5,6,6,4,5.2
UGA58,Uganda,45,Male,Lower middle,1,Christian: Protestant,Married,Primary,Bantu,6,7,6,7,6,7,2,2,2,1,2,2,6,6,6,5,6,6,6,6,6,6,6,5,5,7,7,6,6,7,6,6,6,6,7,6,6,6,2,6,6,6,6,6,6,7,7,7,7,7,7,4,5,1,1,1,1,1,6,6,6,5,5,5,5,5,5
UGA59,Uganda,42,Female,Lower middle,1,Christian: Protestant,Not married,None,Bantu,6,6,6,7,7,6,2,2,2,3,3,3,6,6,6,5,5,6,6,6,6,6,6,6,6,3,7,6,6,6,5,6,6,5,6,6,6,6,2,6,6,6,7,7,7,7,7,7,7,7,7,1,5,1,1,1,1,1,6,6,6,5,5,5,5,5,5
UGA60,Uganda,60,Female,Middle,2,Christian: Catholic,Married,None,Mugishu,6,6,6,4,6,6,6,6,6,6,5,5,2,6,6,6,6,6,6,1,6,6,6,6,6,6,2,6,6,2,6,6,6,6,2,6,6,6,2,2,6,7,7,7,6,7,7,7,7,7,7,2,5,4,2,2,2,2,6,6,6,5,6,6,6,5,5.6
UGA61,Uganda,48,Female,Middle,2,Christian: Catholic,Married,Primary,japhadollah,6,6,6,7,7,7,5,5,5,1,1,1,2,6,6,7,7,6,6,2,6,7,6,6,6,6,2,6,6,6,6,6,6,6,6,6,6,6,2,2,6,6,6,6,7,7,7,7,7,7,7,6,5,4,2,2,2,2,5,6,5.5,5,5,6,5,4,5
UGA62,Uganda,53,Female,Middle,2,Christian: Catholic,Married,None,japhadollah,5,5,5,5,5,5,2,2,2,1,1,1,2,7,6,7,6,7,6,2,6,6,7,6,6,6,1,6,6,6,6,6,6,5,6,6,6,6,2,6,6,6,6,6,6,7,7,7,7,7,7,6,4,5,2,2,2,2,6,6,6,5,6,5,6,5,5.4
UGA63,Uganda,21,Male,Lower middle,1,Christian: Catholic,Married,Primary,Adhola,7,6,4,7,6,6,4,4,3,4,3,4,6,6,5,6,5,4,6,4,4,6,5,5,3,7,2,6,6,6,6,6,5,6,4,6,4,4,2,6,6,7,6,6,4,7,7,4,5,3,2,4,5,2,1,2,2,2,6,6,6,4,5,4,7,4,4.8
UGA64,Uganda,70,Male,Lower middle,1,Christian: Protestant,Married,Primary,Nilotic,6,6,6,6,6,6,2,2,1,2,2,2,6,6,6,6,6,4,6,7,6,6,6,6,5,2,6,7,7,7,7,6,7,4,4,3,5,6,2,6,7,7,6,6,6,7,7,7,7,7,7,4,5,1,4,4,4,4,6,6,6,5,5,5,5,4,4.8
UGA65,Uganda,76,Female,Lower middle,1,Christian: Catholic,Not married,Secondary,Itesot,7,7,7,7,7,7,4,4,4,4,4,4,7,7,7,1,1,1,7,7,7,7,7,7,7,7,1,7,7,4,7,6,6,7,6,5,4,7,1,7,7,7,7,7,7,7,7,7,7,5,5,1,5,1,1,1,1,1,5,5,5,4,5,5,5,5,4.8
UGA66,Uganda,62,Male,Middle,2,Other,Not married,Secondary,Etesot,6,4,5,6,5,6,4,2,2,4,3,4,6,6,6,2,3,1,6,5,7,6,4,6,6,1,7,7,6,6,7,5,2,5,2,2,1,3,2,6,6,7,4,6,4,6,7,7,7,4,3,3,4,1,1,2,2,2,5,6,5.5,5,5,5,6,5,5.2
UGA67,Uganda,62,Female,Lower middle,1,Christian: Protestant,Married,None,Japadhola,7,7,7,7,7,7,4,4,4,4,4,4,7,7,6,4,4,4,7,6,7,6,6,6,6,2,7,7,7,7,7,7,7,7,7,7,7,7,4,7,7,7,7,7,2,7,7,5,7,5,5,1,6,2,1,1,1,1,7,7,7,5,5,6,7,5,5.6
UGA68,Uganda,28,Female,Middle,2,Muslim: Sunni,Married,Secondary,Mugisu,6,4,3,6,5,5,5,6,2,6,5,6,6,4,5,6,5,4,7,2,6,5,4,6,6,1,7,7,4,6,5,7,7,7,2,5,4,6,1,6,6,6,7,6,6,4,5,4,7,4,4,2,5,1,1,1,1,1,6,6,6,7,5,5,7,5,5.8
UGA69,Uganda,58,Male,Lower middle,1,Other,Married,Tertiary,Japadhola,7,7,7,7,7,7,2,4,5,2,2,2,7,7,7,2,2,2,7,1,6,5,6,6,6,1,7,7,7,7,7,7,7,7,7,6,6,7,1,7,7,7,7,7,1,7,7,5,3,3,3,2,1,4,2,2,2,2,5,6,5.5,1,5,2,6,3,3.4
UGA70,Uganda,32,Male,Lower middle,1,Christian: Catholic,Married,Primary,Itesot,7,7,6,7,7,7,1,1,1,1,1,1,6,5,6,3,3,1,4,2,4,5,6,6,6,4,6,7,7,7,7,6,6,7,4,7,5,7,1,6,5,6,5,6,5,7,7,7,7,3,3,2,1,3,1,2,3,2.5,5,2,3.5,5,5,5,7,5,5.4
UGA71,Uganda,28,Male,Lower middle,1,Other,Married,Secondary,Japadhola,7,7,6,7,7,7,1,1,1,1,1,1,7,6,6,,5,4,3,3,6,6,5,6,6,1,7,7,7,7,6,7,6,6,7,6,7,7,1,7,6,6,6,7,1,7,7,3,7,7,7,5,2,3,1,1,1,1,5,4,4.5,3,4,3,6,3,3.8
